epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9916,2.78041,12.029,2.69878,0,0,0,0,3.2113,9.42262,3.32841,1.111e-05,1.111e-05,1.111e-05
2,11.839,3.00344,10.9809,2.74477,0,0,0,0,3.19863,9.51995,3.37365,3.26701e-05,3.26701e-05,3.26701e-05
3,12.6546,2.88956,9.53257,2.79382,0,0,0,0,3.15517,9.57617,3.33982,5.33502e-05,5.33502e-05,5.33502e-05
4,13.4483,2.63096,8.64506,2.53706,0,0,0,0,3.14069,9.92723,3.39989,7.31505e-05,7.31505e-05,7.31505e-05
5,14.3142,2.84338,8.62458,2.68532,0.00389,0.5,0.00442,0.00196,2.83755,7.17709,3.11158,9.20708e-05,9.20708e-05,9.20708e-05
6,15.6293,2.68854,5.7718,2.4882,0.00436,0.5,0.00915,0.0016,3.0444,6.15783,2.96269,0.000110111,0.000110111,0.000110111
7,16.6657,2.67683,6.41401,2.37524,0.00414,0.5,0.0207,0.0044,3.17762,5.79897,3.07873,0.000127272,0.000127272,0.000127272
8,17.9893,2.34279,5.1903,2.35306,0.00385,0.5,0.03186,0.00802,3.04561,5.26993,2.68355,0.000143552,0.000143552,0.000143552
9,19.3296,1.96673,4.67597,1.91259,0.52427,0.33333,0.02388,0.00584,2.86416,5.24588,2.49553,0.000158953,0.000158953,0.000158953
10,20.4127,2.25777,4.08218,2.09722,0.5147,0.16667,0.01896,0.00595,2.73573,5.78169,2.29866,0.000173474,0.000173474,0.000173474
11,21.5293,2.18888,4.22291,1.90261,0.59783,0.16667,0.06699,0.02026,2.57722,6.13889,2.09219,0.000187115,0.000187115,0.000187115
12,22.9729,2.08235,3.81897,1.79506,0.59783,0.16667,0.06699,0.02026,2.57722,6.13889,2.09219,0.000199876,0.000199876,0.000199876
13,24.3453,1.86826,4.01382,1.67008,0.58887,0.16667,0.04916,0.01563,2.30254,6.57961,1.94778,0.000211757,0.000211757,0.000211757
14,25.467,1.71693,3.03124,1.60847,0.55551,0.33333,0.05659,0.01848,2.05484,8.44179,1.7078,0.000222758,0.000222758,0.000222758
15,26.5106,2.02032,4.71347,2.00042,0.55551,0.33333,0.05659,0.01848,2.05484,8.44179,1.7078,0.000232879,0.000232879,0.000232879
16,27.6342,1.56371,3.17293,1.46703,0.56897,0.33333,0.05561,0.01424,2.05938,5.59035,1.68532,0.00024212,0.00024212,0.00024212
17,28.8112,1.51192,2.94693,1.45005,0.6826,0.16667,0.11794,0.02777,1.83189,5.17649,1.67771,0.000250482,0.000250482,0.000250482
18,30.1956,1.25932,2.98189,1.35313,0.6826,0.16667,0.11794,0.02777,1.83189,5.17649,1.67771,0.000257963,0.000257963,0.000257963
19,31.5154,1.56874,3.20681,1.48503,0.80655,0.16667,0.21479,0.04076,1.77404,5.59455,1.79074,0.000264565,0.000264565,0.000264565
20,32.8204,1.45996,2.82234,1.36334,0.80655,0.16667,0.21479,0.04076,1.77404,5.59455,1.79074,0.000270286,0.000270286,0.000270286
21,34.2777,1.45819,3.14806,1.34294,0.65971,0.16667,0.09548,0.02002,1.8845,5.14217,1.70035,0.000275128,0.000275128,0.000275128
22,35.3933,1.54128,3.15537,1.37951,0.65971,0.16667,0.09548,0.02002,1.8845,5.14217,1.70035,0.00027909,0.00027909,0.00027909
